,queryID,Time
0,"['701', 'describe', 'history', 'oil', 'industry']",0.0
1,"['702', 'pearl', 'farming', 'operations', 'actual', 'farming', 'operations', 'described', 'culturing', 'pearls', 'japanese', 'pearl', 'productions', 'status', 'pearl', 'farming', 'production']",0.0
2,"['704', 'goals', 'political', 'views', 'green', 'party']",0.0
3,"['705', 'identify', 'efforts', 'proposed', 'undertaken', 'world', 'governments', 'seek', 'reduction', 'iraqs', 'foreign', 'debt']",0.015626907348632812
4,"['706', 'methods', 'control', 'type', 'ii', 'diabetes']",0.0
5,"['707', 'evidence', 'aspirin', 'help', 'prevent', 'cancer']",0.0
6,"['708', 'sources', 'slate', 'stone', 'decorative']",0.0
7,"['709', 'limits', 'regulations', 'concerning', 'jockey', 'weight', 'horse', 'racing']",0.0
8,"['711', 'security', 'measures', 'employed', 'train', 'stations', 'due', 'heightened', 'security', 'concerns']",0.0
9,"['712', 'actual', 'examples', 'pyramid', 'schemes']",0.0
10,"['713', 'state', 'maryland', 'clean', 'chesapeake', 'bay']",0.0156252384185791
11,"['714', 'restrictions', 'placed', 'older', 'persons', 'renewing', 'drivers', 'licenses']",0.0
12,"['715', 'organizations', 'private', 'governmental', 'developing', 'drugs', 'combat', 'schizophrenia']",0.0
13,"['716', 'spammers', 'arrested', 'sued', 'sending', 'unsolicited', 'e', 'mail']",0.0
14,"['722', 'ways', 'iran', 'support', 'terrorism']",0.0
15,"['723', 'governments', 'definition', 'executive', 'privilege']",0.0
16,"['724', 'iran', 'contra', 'scandal', 'consequences']",0.0
17,"['725', 'cause', 'lowered', 'white', 'blood', 'cell', 'count']",0.0
18,"['727', 'identify', 'specific', 'instances', 'church', 'arson']",0.0
19,"['729', 'revelations', 'whistle', 'blowers', 'concerning', 'department', 'defense']",0.0
20,"['730', 'possible', 'complications', 'potential', 'dangers', 'gastric', 'bypass', 'surgery']",0.015624523162841797
21,"['733', 'regulations', 'regarding', 'airline', 'overbooking']",0.0
22,"['735', 'condition', 'afghan', 'women', 'better', 'new', 'government', 'taliban']",0.0
23,"['737', 'allegations', 'made', 'enrons', 'culpability', 'california', 'energy', 'crisis']",0.0
24,"['738', 'examples', 'anthrax', 'hoaxes']",0.0
25,"['739', 'organization', 'habitat', 'humanity', 'activities', 'involved']",0.0
26,"['740', 'regulates', 'assisted', 'living', 'facilities', 'maryland']",0.0
27,"['741', 'artificial', 'intelligence']",0.0
28,"['743', 'regulations', 'considerations', 'concerning', 'registering', 'freighter', 'country']",0.0
29,"['745', 'identify', 'doomsday', 'cult', 'name', 'location', 'world']",0.015624284744262695
30,"['746', 'jobs', 'outsourced', 'india']",0.0
31,"['747', 'control', 'oversight', 'computer', 'public', 'libraries']",0.0
32,"['749', 'people', 'puerto', 'rico', 'state']",0.0
33,"['750', 'senator', 'john', 'edwards', 'positions', 'womens', 'issues', 'pay', 'equity', 'abortion', 'title', 'ix', 'violence', 'women']",0.0
34,"['751', 'give', 'information', 'scrabble', 'players', 'scrabble', 'played', 'popular']",0.0
35,"['752', 'dams', 'removed', 'environmental', 'impact']",0.0
36,"['753', 'programs', 'schools', 'prevent', 'bullying', 'students']",0.0
37,"['755', 'history', 'location', 'scottish', 'highland', 'games', 'united', 'states']",0.0
38,"['757', 'show', 'examples', 'murals']",0.01562356948852539
39,"['760', 'statistics', 'regarding', 'american', 'muslims', 'mosques', 'schools']",0.0
40,"['761', 'describe', 'problems', 'faced', 'hmong', 'immigrants', 'united', 'states']",0.0
41,"['763', 'give', 'information', 'human', 'deaths', 'associated', 'hunting', 'game']",0.0
